AD_UNIT_NAME_ALL_LEVEL,DATE,ADVERTISER_NAME,ORDER_NAME,AD_UNIT_ID,ADVERTISER_ID,ORDER_ID,AD_UNIT_ID_ALL_LEVEL,CODE_SERVED_COUNT,IMPRESSIONS,CLICKS,REVENUE,ACTIVE_VIEW_MEASURABLE_IMPRESSIONS,ACTIVE_VIEW_VIEWABLE_IMPRESSIONS,AD_EXCHANGE_IMPRESSIONS,AD_EXCHANGE_REVENUE
missyusa_ATF_300x250,2026-05-23,,,21786442614.0,0.0,0.0,21786442614.0,16915.600000000002,13838.800000000001,0.0,11.02,34592,18713,2,0.0
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 116,21786442614.0,5833797831.0,3803389379.0,21786442614.0,77.2,72.8,0.0,1.09,182,142,0,0.0
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 117,21786442614.0,5833797831.0,3803390297.0,21786442614.0,13.600000000000001,12.8,0.0,0.33,32,24,0,0.0
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 118,21786442614.0,5833797831.0,3803390300.0,21786442614.0,4.4,4.4,0.0,0.22,11,8,0,0.0
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 119,21786442614.0,5833797831.0,3805548396.0,21786442614.0,17342.4,16550.8,0.0,14.15,41377,27721,0,0.0
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 120,21786442614.0,5833797831.0,3805548399.0,21786442614.0,7.6000000000000005,7.6000000000000005,0.0,0.29,19,15,0,0.0
missyusa_ATF_300x250,2026-05-23,GADX,Analytics,21786442614.0,30995196.0,2496779519.0,21786442614.0,17680.4,15120.0,4.75,17.43,37347,30148,37800,11.3295
missyusa_ATF_300x250,2026-05-23,GADX,MissyUSA,21786442614.0,30995196.0,2398654930.0,21786442614.0,73907.2,62601.200000000004,21.0,71.41,154134,124186,156503,46.4165
missyusa_ATF_300x250,2026-05-23,Google AdExchange,Google,21786442614.0,4732042460.0,3189843356.0,21786442614.0,198.4,160.8,0.0,0.26,400,322,402,0.169
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 16,21786442614.0,4640328152.0,3536224234.0,21786442614.0,1469.6000000000001,1391.6000000000001,0.0,1.98,3035,2094,0,0.0
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 17,21786442614.0,4640328152.0,3536224237.0,21786442614.0,1216.0,1162.0,0.0,1.37,2261,1538,0,0.0
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 18,21786442614.0,4640328152.0,3536224240.0,21786442614.0,1005.6,964.8000000000001,0.0,0.76,1887,1272,0,0.0
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 19,21786442614.0,4640328152.0,3538000686.0,21786442614.0,2126.4,2026.4,0.0,2.25,4339,2924,0,0.0
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 20,21786442614.0,4640328152.0,3538000689.0,21786442614.0,1349.2,1271.2,0.0,1.98,2890,1956,0,0.0
missyusa_ATF_300x250,2026-05-23,MSFT,MSFT,21786442614.0,6075865898.0,4078071810.0,21786442614.0,7951.6,7678.400000000001,0.0,0.0,19196,13140,0,0.0
missyusa_ATF_300x250,2026-05-23,Mediafuse,DM Order - mediafuse - MediaFix-Banner-Order Set-1 - 134,21786442614.0,5616803510.0,3537946962.0,21786442614.0,0.4,0.4,0.0,0.0,1,0,0,0.0
missyusa_ATF_300x250,2026-05-23,NM,DM Order - nextMillennium - MediaFix-Banner-Order Set-1 - 41,21786442614.0,5616871104.0,3536045408.0,21786442614.0,0.4,0.4,0.0,0.0,1,0,0,0.0
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-1,21786442614.0,5929971059.0,3896730679.0,21786442614.0,114914.0,109815.6,0.0,119.62,260951,171853,0,0.0
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-2,21786442614.0,5929971059.0,3896730682.0,21786442614.0,581.6,548.8000000000001,0.0,6.95,1352,956,0,0.0
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-3,21786442614.0,5929971059.0,3897014088.0,21786442614.0,128.4,119.2,0.0,2.78,295,204,0,0.0
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-4,21786442614.0,5929971059.0,3896730694.0,21786442614.0,58.800000000000004,56.400000000000006,0.0,1.94,140,89,0,0.0
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-5,21786442614.0,5929971059.0,3896730706.0,21786442614.0,30.8,30.0,0.0,1.43,75,50,0,0.0
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 125,21786442614.0,4747961201.0,3537970476.0,21786442614.0,2268.4,2159.2000000000003,0.0,1.56,4068,2646,0,0.0
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 126,21786442614.0,4747961201.0,3537970479.0,21786442614.0,1424.4,1340.0,0.0,1.61,2896,2040,0,0.0
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 127,21786442614.0,4747961201.0,3537971037.0,21786442614.0,1444.4,1368.0,0.0,1.41,3020,2090,0,0.0
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 128,21786442614.0,4747961201.0,3537971160.0,21786442614.0,1800.8000000000002,1704.0,0.0,2.15,3673,2414,0,0.0
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 129,21786442614.0,4747961201.0,3537971163.0,21786442614.0,374.0,352.8,0.0,0.46,787,503,0,0.0
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 140,21786442614.0,5845352126.0,3861834199.0,21786442614.0,20128.4,19201.2,0.0,23.2,45850,29822,0,0.0
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 141,21786442614.0,5845352126.0,3861834202.0,21786442614.0,5.2,4.4,0.0,0.17,11,4,0,0.0
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 142,21786442614.0,5845352126.0,3861834910.0,21786442614.0,73.60000000000001,63.6,0.0,0.92,151,94,0,0.0
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 143,21786442614.0,5845352126.0,3861834913.0,21786442614.0,2.4000000000000004,2.4000000000000004,0.0,0.12,6,4,0,0.0
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 144,21786442614.0,5845352126.0,3862550589.0,21786442614.0,30.400000000000002,27.6,0.0,0.75,67,43,0,0.0
missyusa_ATF_300x250,2026-05-23,Vidazoo,DM Order - vidazoo - MediaFix-Banner-Order Set-1 - 66,21786442614.0,5845353068.0,3860323814.0,21786442614.0,4.0,4.0,0.0,0.1,10,7,0,0.0
missyusa_ATF_300x250,2026-05-23,Vidazoo,DM Order - vidazoo - MediaFix-Banner-Order Set-1 - 67,21786442614.0,5845353068.0,3860323817.0,21786442614.0,4.4,4.0,0.0,0.2,10,7,0,0.0
