AD_UNIT_NAME_ALL_LEVEL,DATE,ADVERTISER_NAME,ORDER_NAME,AD_UNIT_ID,ADVERTISER_ID,ORDER_ID,AD_UNIT_ID_ALL_LEVEL,CODE_SERVED_COUNT,IMPRESSIONS,CLICKS,REVENUE,ACTIVE_VIEW_MEASURABLE_IMPRESSIONS,ACTIVE_VIEW_VIEWABLE_IMPRESSIONS,AD_EXCHANGE_IMPRESSIONS,AD_EXCHANGE_REVENUE
missyusa_ATF_300x250,2026-05-23,,,21786442614,0,0,21786442614,42289,34597,0,11.02,34592,18713,2,0.00
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 116,21786442614,5833797831,3803389379,21786442614,193,182,0,1.09,182,142,0,0.00
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 117,21786442614,5833797831,3803390297,21786442614,34,32,0,0.33,32,24,0,0.00
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 118,21786442614,5833797831,3803390300,21786442614,11,11,0,0.22,11,8,0,0.00
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 119,21786442614,5833797831,3805548396,21786442614,43356,41377,0,14.15,41377,27721,0,0.00
missyusa_ATF_300x250,2026-05-23,Contxtful,DM Order - contxtful - MediaFix-Banner-Order Set-1 - 120,21786442614,5833797831,3805548399,21786442614,19,19,0,0.29,19,15,0,0.00
missyusa_ATF_300x250,2026-05-23,GADX,Analytics,21786442614,30995196,2496779519,21786442614,44201,37800,19,17.43,37347,30148,37800,17.43
missyusa_ATF_300x250,2026-05-23,GADX,MissyUSA,21786442614,30995196,2398654930,21786442614,184768,156503,84,71.41,154134,124186,156503,71.41
missyusa_ATF_300x250,2026-05-23,Google AdExchange,Google,21786442614,4732042460,3189843356,21786442614,496,402,0,0.26,400,322,402,0.26
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 16,21786442614,4640328152,3536224234,21786442614,3674,3479,0,1.98,3035,2094,0,0.00
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 17,21786442614,4640328152,3536224237,21786442614,3040,2905,0,1.37,2261,1538,0,0.00
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 18,21786442614,4640328152,3536224240,21786442614,2514,2412,0,0.76,1887,1272,0,0.00
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 19,21786442614,4640328152,3538000686,21786442614,5316,5066,0,2.25,4339,2924,0,0.00
missyusa_ATF_300x250,2026-05-23,IX,DM Order - ix - MediaFix-Banner-Order Set-1 - 20,21786442614,4640328152,3538000689,21786442614,3373,3178,0,1.98,2890,1956,0,0.00
missyusa_ATF_300x250,2026-05-23,MSFT,MSFT,21786442614,6075865898,4078071810,21786442614,19879,19196,0,0.00,19196,13140,0,0.00
missyusa_ATF_300x250,2026-05-23,Mediafuse,DM Order - mediafuse - MediaFix-Banner-Order Set-1 - 134,21786442614,5616803510,3537946962,21786442614,1,1,0,0.00,1,0,0,0.00
missyusa_ATF_300x250,2026-05-23,NM,DM Order - nextMillennium - MediaFix-Banner-Order Set-1 - 41,21786442614,5616871104,3536045408,21786442614,1,1,0,0.00,1,0,0,0.00
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-1,21786442614,5929971059,3896730679,21786442614,287285,274539,0,119.62,260951,171853,0,0.00
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-2,21786442614,5929971059,3896730682,21786442614,1454,1372,0,6.95,1352,956,0,0.00
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-3,21786442614,5929971059,3897014088,21786442614,321,298,0,2.78,295,204,0,0.00
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-4,21786442614,5929971059,3896730694,21786442614,147,141,0,1.94,140,89,0,0.00
missyusa_ATF_300x250,2026-05-23,Prebid,prebid-5,21786442614,5929971059,3896730706,21786442614,77,75,0,1.43,75,50,0,0.00
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 125,21786442614,4747961201,3537970476,21786442614,5671,5398,0,1.56,4068,2646,0,0.00
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 126,21786442614,4747961201,3537970479,21786442614,3561,3350,0,1.61,2896,2040,0,0.00
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 127,21786442614,4747961201,3537971037,21786442614,3611,3420,0,1.41,3020,2090,0,0.00
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 128,21786442614,4747961201,3537971160,21786442614,4502,4260,0,2.15,3673,2414,0,0.00
missyusa_ATF_300x250,2026-05-23,RB,DM Order - rubicon - MediaFix-Banner-Order Set-1 - 129,21786442614,4747961201,3537971163,21786442614,935,882,0,0.46,787,503,0,0.00
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 140,21786442614,5845352126,3861834199,21786442614,50321,48003,0,23.20,45850,29822,0,0.00
missyusa_ATF_300x250,2026-05-23,Smilewanted,DM Order - smilewanted - MediaFix-Banner-Order Set-1 - 141,21786442614,5845352126,3861834202,21786442614,13,11,0,0.17,11,4,0,0.00
